date,client_id,well_id,well_name,forecast,actual
2/29/2020,1009,44712,Abraxas 27 4,3175.4552,2920.2200
2/29/2020,1009,44713,Abraxas 28C 1,3084.0907,3511.4800
2/29/2020,1009,44714,Abraxas 32 12,3056.0212,3294.6900
2/29/2020,1009,44715,Elma L Slaughter G 1,3077.0467,3841.3900
2/29/2020,1009,44716,Elma L Slaughter 1,2250.2478,1976.4000
2/29/2020,1009,44717,Titos 31-42 2WA,14422.6408,0.0000
2/29/2020,1009,44718,Hale 1521,2601.7230,3298.9700
2/29/2020,1009,44719,Slaughter 514,2505.0785,3244.5400
2/29/2020,1009,44720,Williams 6 1,1908.5620,2523.2300
2/29/2020,1009,44721,Baldwin 7 2,2679.4443,2076.5600
2/29/2020,1009,44722,Lady Bird 22-14 1WB,15140.3212,23360.0400
2/29/2020,1009,44723,Slaughter 29B 1,2671.7540,2342.7900
2/29/2020,1009,44724,Butchee 21 2,1906.1780,1663.4800
2/29/2020,1009,44725,Abraxas 27A 3,1888.6355,3994.0700
2/29/2020,1009,44728,Abraxas 32B 10,2800.7190,4266.7800
2/29/2020,1009,44729,Thirsty Goat E Unit 1LS,10576.6472,
2/29/2020,1009,44730,Thomas A 1533,514.0978,66.1200
2/29/2020,1009,44731,Abraxas 31B 1,2514.4768,4508.3700
2/29/2020,1009,44732,Slaughter B-3 1,2736.8080,2660.6200
2/29/2020,1009,44734,Garner 7 1,3143.9615,3577.1600
2/29/2020,1009,44735,Cook 21 3,1916.9293,1706.0000
2/29/2020,1009,44736,Baldwin 7 1,2710.2282,1903.2100
2/29/2020,1009,44737,Abraxas 32C 1,2501.7723,2515.6100
2/29/2020,1009,44738,Snell 43A 1,2196.7357,3181.7200
